z1,z2,z3,id
1.2536016,-0.75738096,1.824107,528649
0.5477018,-0.43507987,1.4676813,528650
0.100271605,-0.62239504,1.5691295,528651
-1.8477356,0.7096908,-1.5554892,528652
-1.6750627,0.6655201,-1.6206727,528654
0.9187048,-1.5929015,3.504782,528655
-0.75601304,-0.90941834,-1.5798962,528656
0.40746865,-1.2944165,1.4292021,528657
-1.550336,0.23715474,-1.1576016,528658
-0.9267314,0.058445387,-1.3636549,528659
-1.0002949,-0.2964193,-1.5927353,528660
-1.7928734,-0.28741604,-1.3702319,528661
-1.6072973,-0.19953226,-1.735158,528662
-1.7749116,-0.46911615,-0.26397103,528663
-2.463353,-0.14679956,-1.6392424,528664
0.91843647,-0.98087084,2.587546,528665
-0.14526078,-0.32174718,-1.483335,528667
0.619137,-0.63065493,1.0808448,528668
-1.2900935,-0.9291569,-0.7561328,528669
0.9838377,-0.646606,3.1436942,528670
-1.4745848,-0.15150085,-1.855501,528671
-2.9369838,-0.44372085,-2.4010205,528672
1.2033013,-1.5596116,1.1576916,528673
-1.382469,-0.16887687,-1.5959824,528674
1.4958354,-1.5230255,2.4958916,528675
0.88317424,-1.6582267,1.2959305,528676
-0.8530097,-0.09579114,-1.7537009,528677
0.9335867,-0.3311577,0.56417185,528678
0.6703901,-1.5180757,1.9355139,528679
-2.1726751,-0.021198587,-0.83709806,528680
0.88841796,-1.4555202,3.1051934,528681
-1.131727,-0.042775147,-1.1405632,528682
-1.7695944,1.0598565,-0.4212498,528683
1.0511488,-0.8800324,1.5476011,528684
-0.13249704,-0.9304477,2.0658329,528685
1.2511992,-0.61928433,0.336083,528686
-0.92921746,-0.7154333,-1.6057414,528687
-1.3347235,-0.78911734,-2.5557365,528688
0.10089018,-0.99967325,2.304981,528690
-0.5050845,-2.590632,4.532579,528691
0.68490416,-0.8979704,0.7162221,528692
-0.7657906,-0.09893981,-1.2927608,528693
-1.0922353,0.0875689,0.68791157,528694
0.93451023,-1.8016765,1.4872372,528695
-1.6639721,-0.52873933,-1.4881836,528697
-1.4099047,-0.24355914,-1.2763898,528698
-0.6904762,-0.22674799,-1.588316,528699
0.7403485,1.2489812,1.8675787,528700
-0.020185329,-0.12556815,-0.97942513,528701
-2.5730476,-0.06659939,-1.5127509,528702
-0.82809716,-0.09829313,-1.8491194,528703
0.37269488,-0.694208,1.5814018,528704
-0.97721815,-0.5573166,-1.560575,528705
0.15256065,0.9275512,0.5455844,528706
-1.5768902,-0.497782,-1.7973009,528707
-0.72603285,-0.041722056,0.024597961,528708
-0.37846538,-0.70413864,-2.1081603,528709
-1.4173644,0.40621656,-0.51197535,528710
-0.91832757,0.11085235,-1.0836513,528711
-2.2330024,0.15201285,0.38181365,528712
0.32394025,0.06059456,1.0478168,528713
-1.6920847,0.48681337,-0.8834741,528714
-1.0060698,-1.2284226,-2.4259753,528715
1.3268237,-0.38734856,0.25491276,528716
0.31589165,-1.8673255,3.1651258,528717
-0.8613194,-0.009529775,-1.1928848,528718
1.2120906,-0.8584559,1.1930252,528719
-1.095017,0.15756303,-1.0847359,528720
-1.3881855,-0.053779952,-1.0068201,528721
-2.416832,-0.56929076,-1.0142527,528722
-1.9406285,-0.3033592,-1.8288169,528723
-2.8964062,-0.9150773,-3.2623947,528724
0.9094003,-1.6325088,1.6635877,528725
0.44249004,-1.3236616,1.5598006,528726
0.98861593,-0.60756403,0.53638464,528728
-1.8130977,-0.15280692,-1.3861983,528729
-1.4548662,-0.2332514,-0.96588093,528730
0.3319631,-1.7683188,3.2286794,528731
-0.58381313,-0.4153905,-1.0093113,528732
0.29103753,0.94941854,-0.0006755404,528733
1.3505589,-1.9284105,1.5591159,528734
0.5792023,-1.4313619,2.9131658,528735
0.62798166,-0.2166001,0.97547656,528736
-0.86223966,-0.17582887,-1.3450665,528737
-2.29091,-0.006788522,-1.2073711,528738
-1.1210742,0.14323582,-0.9540002,528739
-1.1360965,-0.2712124,-1.5319376,528740
-0.93533087,0.26727626,-0.50939125,528742
-2.0645108,-0.44762105,-1.1220553,528745
0.42797503,-1.090592,2.8452346,528746
0.5910269,-0.9315968,1.9015265,528747
-2.321877,-0.24256925,-1.9062816,528748
-1.6234505,0.16819909,-1.4553105,528749
-2.3380642,-0.04690437,-1.554824,528751
1.010161,-0.9012445,1.2205433,528752
1.9903303,-1.3468815,0.22280905,528753
-1.025469,-0.52786434,-1.1664131,528754
-0.8447746,-0.22737153,-1.7644732,528755
1.1083885,-0.68950045,0.58356464,528756
0.4841161,-1.6349807,3.3393724,528758
0.090301864,-0.39154136,-1.9262323,528760
-0.6976977,-0.7114216,-1.7348697,528761
-1.5143969,-0.008674061,-1.0862004,528764
-1.063204,-0.52427596,-1.8469319,528765
1.9654052,-1.5742167,0.33217934,528767
-0.8895751,-0.402414,-1.8469427,528768
-2.1853843,-1.1655214,-0.5254573,528769
0.74869764,-1.8461566,3.3609436,528770
0.6266787,-0.93737507,1.5861368,528771
-1.522187,-0.07163153,-2.5106397,528772
-0.9041583,0.08695574,-1.9380049,528774
-1.8174435,0.38334745,-1.0758464,528776
0.4758409,-0.98947656,0.61250883,528777
-2.3444347,-0.006114471,-0.9707151,528778
0.7636477,-0.3562902,0.97997147,528779
-0.45483932,-0.6420949,-0.560156,528781
-3.154036,0.16299756,-1.4544564,528782
0.8516558,-0.7411555,0.8139753,528784
-1.4263651,-0.75505084,-2.7804773,528785
-0.858552,-0.19375364,-1.5045081,528786
0.96662194,-0.7921778,0.92815393,528787
-0.8824063,-0.14280958,-0.9578994,528788
1.0892643,-0.8628403,1.004444,528789
-1.6715995,0.14417881,-1.128756,528790
-2.3747945,-0.074275255,-1.4682281,528791
0.11057263,-1.5308158,1.6963254,528792
-0.26510942,-1.6702559,2.3754911,528793
0.7918123,-0.439991,0.70262414,528794
0.73909813,-0.26482722,1.5087459,528795
-1.9289255,-0.2748676,-0.81568927,528796
0.5878091,-0.8576889,0.25201714,528797
-1.9386709,-0.067663275,-1.192565,528798
1.1392215,-0.41484165,0.26457757,528829
1.7230046,-0.99913317,0.14960878,528831
0.8841275,-0.8688642,0.33265334,528833
0.45249796,-0.93111694,1.8092963,528834
-0.89575493,-0.7600068,-1.0526416,528835
-1.0942249,0.14535876,-1.1676189,528838
-1.1825467,-0.008629298,-1.5217234,528839
0.110518835,-2.039685,2.6213899,528840
-1.8394215,-0.50053847,-2.5354216,528842
-1.35276,0.3304267,-1.793738,528844
-0.74096787,-0.6465907,-1.3672856,528846
1.0628427,1.5325503,-0.56548476,528848
-1.476115,-0.26206842,-1.7076931,528851
-3.1769555,-1.4711225,-2.1307416,528853
-1.3946784,-0.57545495,-1.3824362,528855
-1.1058425,0.052067265,-1.5189743,528857
-0.9905852,0.1287805,-0.1746247,528859
-2.6761775,0.017698595,-1.6844465,528860
-1.5959339,-0.185068,-0.8681639,528861
-2.749927,-0.47040302,-0.83189124,528864
-1.2520338,0.1556039,-1.3317037,528866
-1.1464235,-0.19688627,-1.8633196,528872
-2.2962184,0.32513523,-1.2389387,528874
-1.5878386,-0.2594128,-1.3546228,528876
-1.9061542,-0.4003844,-1.5756456,528879
0.69984186,-2.0676847,2.1936827,528880
0.33815137,-1.4207181,2.9196098,528881
0.32264122,-1.9799747,1.790347,528882
-0.42515188,-0.13190557,-1.5782726,528883
-2.5435433,0.12589015,-2.0975847,528884
0.6527863,-0.27775636,0.7057248,528885
-0.956859,-0.24580301,-1.4447786,528886
-3.4513648,-0.003693113,-2.4607515,528888
-1.5907898,-0.23992462,-1.1940064,528893
-0.9958687,-0.100078456,-1.1648177,528900
-1.3088264,-0.14368851,-1.0167263,528909
0.9919563,-0.50865376,0.2767899,528910
-1.7194687,0.018607194,-0.44229543,528912
1.0773994,-0.25138575,0.61459655,528913
0.2525655,-0.35866147,0.5670856,528914
-0.67592704,0.13336971,-0.2295533,528915
0.63572687,-0.6029832,0.57325745,528919
1.0675519,-0.6652882,1.20977,528920
-1.8550303,-0.22640876,-0.60968655,528921
-0.92503893,-0.10796868,-0.20883115,528922
-0.7805602,-0.23300926,-1.3152773,528923
-1.1610603,-0.014599884,-0.77562535,528924
-1.8882935,-0.58358765,-1.0610075,528925
-1.0985037,0.27280512,-0.99400944,528926
0.48719153,-0.8421392,1.4595498,528927
-2.137289,-0.23603462,-1.1155431,528928
-0.22851852,-1.7217753,3.4200208,528929
0.624771,-0.6702241,1.0322908,528930
-0.4372524,-0.10147559,-0.7659784,528931
1.0563964,-0.5769399,0.4057805,528932
1.2938069,-0.6806577,0.08067826,528933
-2.1585789,-0.53449446,-2.3013387,528934
1.138092,-1.2864996,0.71912,528935
1.2999343,-0.55375624,0.26675913,528936
-0.48035052,-1.0923605,3.1973565,528937
-3.007792,0.43586037,-1.1403666,528938
0.54229665,-1.1659839,0.55935746,528939
0.4496602,-0.49173933,1.4331815,528940
0.10556855,1.4592702,2.2516499,528941
-0.10494206,-0.74879324,2.5572712,528942
-1.2657952,-0.078190066,-0.7692313,528943
-1.3501978,-0.16724166,-0.9857264,528944
-0.7017844,-0.30198187,-1.2825233,528945
0.8823063,-0.8609,0.84971136,528946
-1.6692486,-0.2782042,-1.0072575,528947
0.22253388,-1.5377274,1.474155,528948
-1.8325509,0.28404623,-0.63103515,528949
-2.595974,0.5373565,0.1756448,528950
1.7963543,-1.9792223,1.0987533,528951
-1.8540027,-0.33157378,-1.343615,528952
0.035149895,-1.7371422,1.6901699,528953
1.0660586,-1.0226123,2.342358,528954
0.83578956,-1.1664957,0.8737045,528956
0.66951865,-0.86861116,1.0753708,528957
0.8527273,-1.7764885,1.8520088,528958
0.72805387,-0.7182017,1.002276,528960
0.8469382,-0.43347278,0.5292348,528961
-0.20353827,-0.15961291,-0.57042414,528964
-1.1989079,-0.3398763,-1.0951011,528965
-0.5857545,-0.29422662,-0.9370081,528966
1.2312275,-0.9586747,1.1310483,528967
0.9322909,-0.7774617,2.0555923,528969
0.8823106,-0.7257041,0.5534229,528970
0.7175235,-0.25793687,0.5154939,528972
-1.760294,-0.3068597,-1.6514783,528973
-1.5393131,0.056635387,-0.6032906,528974
1.1255243,-1.5706747,1.6751052,528977
0.44317874,-0.3275202,0.8326439,528978
-1.7639902,0.29341054,-0.81205755,528981
-0.59326744,-0.4370791,-1.6863145,528983
0.7444405,-0.52340895,0.46902716,528984
-0.7209303,-0.41005212,-1.1630806,528985
-1.5441272,-0.31264395,-1.7397462,528986
0.60571015,-0.48956022,0.56546,528987
0.40178388,0.059508212,0.83859783,528990
0.78988045,-1.4727771,1.874903,528991
-0.8811059,-0.19212176,-1.3971555,528992
-3.1728082,-0.5117381,-2.5183446,528994
0.84450924,-1.1636997,1.1862013,528995
-1.8738551,-0.6509216,-1.3071046,528996
-0.4429606,-0.59903437,-2.0942328,528997
0.5791842,-1.4946027,2.0889957,528998
0.9257312,-1.0437849,0.910179,528999
0.9166162,-0.54729223,0.972366,529000
-1.1787896,-0.367231,-2.5759594,529001
1.5121766,-1.3215697,0.72875667,529002
-0.9601029,0.068969496,-1.1888599,529003
-1.6816375,-0.2868213,-1.9178998,529004
1.0535762,-3.035846,1.2781721,529005
0.66472524,-0.78825915,1.1662172,529006
0.65705866,-1.4283206,0.4839052,529007
-1.3775547,0.09178621,-1.9938738,529008
1.1249387,-1.1333613,1.7082086,529009
1.5148354,-2.0671759,1.1019105,529010
1.9451306,-0.26168138,0.07761541,529011
0.7683048,-0.8994154,0.7636594,529012
1.1755503,-1.7640619,1.5734533,529013
-0.76007676,-0.2898579,-1.0359426,529014
-1.05352,0.12730439,-0.4324795,529017
0.26628304,-1.8782697,1.2401456,529018
0.4990253,-1.7340751,1.5483918,529019
-0.06735215,-0.77266496,2.638851,529020
-2.1961389,-0.32237077,-1.7911829,529021
-1.6454444,-0.45803514,-2.168156,529022
-1.4235022,-0.045882057,-0.7746785,529024
-1.2210267,0.055692986,-1.125164,529027
-0.8980794,0.041808024,-0.53385645,529029
-0.8008317,-0.112818606,-1.2238238,529032
0.73897964,-1.6112292,2.1427429,529034
-0.8096773,-0.36868337,-1.2871853,529035
-2.3027797,0.14779975,-1.7631915,529037
0.5070441,-2.2776325,1.4376844,529038
1.4816189,-0.81847,0.25012285,529039
-2.2436202,-0.32780123,-0.8075598,529040
1.0399771,-0.10637919,0.2560279,529041
0.49680433,-0.8755084,1.4818641,529042
-2.2589803,0.02055656,-1.1965325,529043
0.4077195,-1.0095599,2.0280674,529044
-2.9414601,-0.71038866,-1.9295673,529045
0.7833083,-0.09729086,0.613648,529046
-2.8727512,-0.01585617,-0.8479082,529048
0.57031214,-0.4398299,1.0664175,529049
-0.58033305,-0.38157663,-2.608061,529050
0.4987042,0.86246455,-0.41917008,529051
-1.3135569,0.12222987,-1.1728387,529052
0.46547493,-0.8348313,1.3088394,529053
-1.5505843,0.27273005,-0.8690962,529054
0.745507,0.17882758,0.021822244,529056
0.92969084,-0.60255843,0.3766096,529057
-1.7537258,-0.11073636,-1.5325495,529058
-2.1407428,0.10327896,-1.9654963,529059
0.90161455,-0.88636935,1.1988529,529061
-1.4600021,0.18380757,-0.8140406,529062
0.04081314,-1.2131509,1.632084,529063
-2.6921067,0.4472457,-0.5054014,529064
-3.6380658,-0.16502903,-1.9678483,529065
1.3488947,-1.9071445,3.4735634,529066
1.4554555,2.057428,2.205746,529067
-1.0437284,0.0502655,-0.98260516,529068
0.31006196,-0.8684212,0.70141685,529069
0.4189628,0.14885572,0.4483239,529070
0.57857835,-1.309994,0.6277432,529071
0.22544566,-2.5832498,3.555186,529073
0.7026864,-0.5876518,0.6771351,529075
-2.4187343,0.05638849,-2.3974771,529076
0.16271019,-1.3030424,1.2519459,529077
1.1087729,-1.0162653,0.4789579,529078
0.087711565,-0.047561325,0.87087977,529079
0.22567296,-1.034002,1.1152556,529081
0.7989139,-0.27409884,0.5902825,529082
-1.5896435,-0.5984684,-0.8761998,529084
-1.224468,-0.6430194,-1.5471982,529085
-0.7408705,-0.3082934,-1.1795403,529087
-3.1164317,0.22631124,-0.34987867,529088
-1.3519604,-0.0273878,-1.01276,529090
1.0020812,-0.796734,0.05883554,529091
0.2997771,-1.3807776,1.3606695,529093
-0.20136064,-0.547257,-1.4453614,529094
-1.138941,-0.59402335,-1.8371344,529095
-1.8492916,-0.13204889,-1.0180981,529097
-1.2948856,-0.1365035,-1.0494734,529098
-2.363095,-0.5097268,-2.0703216,529099
-0.7412658,-0.168784,-1.7749851,529100
-0.59405947,-0.23527679,-1.1924126,529101
-1.2549179,-0.36462408,-1.0316503,529102
-1.3710604,-0.07905472,-1.3411227,529104
0.96658057,-1.0154624,1.5262927,529106
-2.4060068,-0.10090137,-1.6454421,529107
1.4967821,-0.6545732,0.22241248,529108
-1.0124384,0.07779933,-0.85605717,529109
0.49704966,0.03956826,0.43741748,529110
-0.11451099,0.757256,0.86300284,529111
0.34093562,-2.118667,3.5536397,529112
-2.0701246,0.07350279,-0.36988932,529113
-1.2399601,-0.23431621,-1.0790416,529114
0.77191067,-1.3072876,1.153607,529115
0.43922368,-1.6974733,2.7831838,529116
0.7514157,-0.30957496,0.20616998,529117
-1.3309474,-0.420809,-1.6870822,529118
-0.77600324,-0.41564718,-2.152697,529119
-1.0130314,0.12212453,-1.4778184,529120
-1.3512907,-0.113967925,0.103196666,529121
-1.2842278,-0.058077708,-0.61733824,529122
1.1238868,-1.3106987,0.95074564,529123
-2.4848318,-0.37601525,-1.5946246,529124
-2.9609966,-0.20483808,-2.1532273,529125
0.6871758,-0.89925563,0.69904625,529126
-1.5608582,-0.07570857,-2.263847,529127
0.7849164,-0.42488202,1.02974,529128
-1.0073396,-0.13297446,-1.3106275,529129
1.2280443,-0.835378,1.7514442,529130
1.1399834,-0.5996846,1.0636371,529131
-1.7155223,-0.768036,-0.81183124,529132
-0.9830251,-0.37923294,-1.3944709,529135
-3.0010128,0.44339088,-1.1037868,529136
-1.3120463,-0.40051657,-1.6252469,529142
-2.5309694,-0.02614816,-2.5338004,529145
0.8077811,-1.916908,3.1507852,529146
-1.1374528,0.2535823,-1.1025622,529149
-1.11803,0.14189437,-0.8525189,529150
0.81150883,-0.3598054,1.2844942,529153
-0.6072698,0.01906011,-1.0972015,529155
0.3696393,-0.37408504,0.45428336,529156
0.8574653,-0.9612391,2.0707984,529157
-0.9825686,-0.66835105,-1.1784482,529158
-1.970613,-0.2897139,-1.5199752,529159
1.1159389,-1.0563343,0.17833954,529160
-1.7133453,0.26811007,-1.3699955,529161
-1.5787772,0.07403285,-1.0700762,529162
-1.2204838,-0.14009587,-1.3115302,529163
-1.9160384,0.28278375,-1.8397999,529164
-1.6069051,-0.5220371,-1.8095077,529165
0.78176486,-0.04056282,0.4009475,529166
-2.3089209,-0.19024079,-1.1576695,529167
1.1359887,-0.9456394,1.2746534,529168
-1.0907433,-0.123184465,-1.7103349,529172
-1.4108737,-0.24806798,-0.681137,529173
-2.8023558,-0.23968978,-1.296402,529176
-1.2962742,-0.34920567,-0.8000431,529177
-1.2420628,0.17322555,-1.246759,529178
0.5212239,-1.3676015,2.3499718,529183
1.3876525,-0.5057367,0.14969108,529185
-0.122539856,-2.4679463,3.4947183,529186
1.1478238,-1.347989,1.4906144,529187
0.5707748,-1.0916152,1.7913585,529188
-3.7273464,-0.1858581,-1.1011012,529189
-2.1222887,-0.40253526,-1.4366636,529190
-2.3369708,0.29196322,-1.8072344,529192
-2.2489595,0.18492323,-1.4056367,529193
1.413027,-0.7851151,0.3288581,529194
0.56659317,-0.4979031,0.76719433,529196
1.2781655,-1.4000702,0.86068755,529198
-2.8010159,-0.7684839,-1.7914624,529199
-0.5247106,-0.5084017,-2.0808692,529200
-1.2967316,-0.28581396,-1.6995511,529201
-1.0444095,0.17020494,-1.1891869,529204
0.24386755,-1.6523455,1.5531791,529205
0.75642926,-0.20091,0.65289456,529206
-0.100249566,-1.7264059,2.4916399,529207
0.8239817,-1.3525066,1.469168,529208
-0.14749977,-2.1764827,2.6325648,529209
1.6971177,-1.9848628,1.2858741,529210
-0.8807801,-0.32984307,-1.5192997,529211
0.75987893,-0.751423,1.2048832,529212
-1.7311282,-0.009879725,-0.041561913,529213
-1.3333342,-0.7593858,-2.448763,529214
-2.48599,0.47850722,0.14460872,529215
0.8444544,-0.19655147,0.48029208,529216
0.1466614,-1.6807721,1.8674179,529217
-0.18784979,-0.27434134,-1.058652,529218
-2.0813866,-0.46866757,-1.1491325,529219
0.45601696,-2.000803,2.2995007,529220
0.35013723,-1.0779233,1.2798407,529221
0.98652273,-1.8158519,2.5043087,529222
0.37212998,-1.0215296,1.4308085,529223
-1.2235165,-0.44697887,-1.5021265,529224
0.46767715,-0.3057063,1.1710936,529225
0.6177989,-0.284602,1.4531825,529227
0.51476717,-2.0817251,3.735282,529228
1.0064893,-0.9394323,1.1103437,529229
-1.9082302,0.19658513,-0.3149253,529230
-0.10791055,-1.048473,2.1304133,529232
-1.5909053,0.031057822,-1.5038592,529233
-1.525265,0.09575762,-1.3498391,529234
0.9113734,-0.9092738,1.2476478,529236
-1.6180656,-1.0884557,-1.6248335,529237
0.6778785,-0.5324914,0.80044985,529238
-1.5352087,-0.727021,-1.4872742,529239
-0.90274096,-0.85251206,-2.1158068,529240
-1.2887492,-0.51393354,-1.5169418,529241
-2.3994932,-0.68768644,-1.3519882,529242
-1.7338672,-0.098146565,-1.5612609,529243
-2.531534,-0.030535458,-1.4413639,529244
-0.70875883,-0.5383745,-1.0807953,529245
-2.018535,-0.64525175,-1.4106598,529246
